Gross Output by Industry,,,,,,,,,,,,,,,,,,,,,,,
[Millions of dollars],,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,
"Release Date: October 29, 2019",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Line,,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
    36,    Motor vehicle and parts dealers,174686,174664,196427,195374,176590,208890,211281,217241,211917,214647,215797,184484,147800,196860,198780,221895,235849,254194,281193,300209,311111,319104
    37,    Food and beverage stores,129441,133477,140404,141466,152601,153932,159015,168239,175213,185029,188189,194115,190728,197147,203793,207675,210668,218441,228585,232886,242340,251669
    38,    General merchandise stores,116484,123470,131706,136288,139037,139482,157142,172717,181068,186495,198425,200652,207333,215053,212388,210740,216710,222950,229945,229144,231643,240528
    39,    Other retail,436671,460601,485159,526911,524033,542998,580569,632353,671515,715909,731552,697985,661853,690596,720969,763197,816793,855369,911760,951803,997061,1051515
    40,  Transportation and warehousing,499361,527364,558580,600261,591978,595543,628191,692310,752614,820687,866033,906784,781977,856269,954180,1002031,1036844,1110138,1121434,1124873,1180498,1266126
    41,    Air transportation,114332,115629,121211,134588,118653,111658,122300,132684,142371,152667,161265,171526,147076,163825,194775,195902,201460,211361,211222,209714,221440,238168
    42,    Rail transportation,38152,38138,38690,39260,39849,40488,41448,45679,51528,58115,60665,68392,54710,66432,75816,79137,82412,88647,81770,74871,78605,85310
    43,    Water transportation,24757,24789,25879,27350,27009,25991,30142,35320,37962,42385,47535,52849,43580,45163,45288,46646,43929,48568,48002,46792,48197,53248
    44,    Truck transportation,162011,174069,185753,198502,199336,203133,208887,231010,255943,272753,279027,283670,231357,251530,278367,297770,307384,333496,333077,327878,343529,367305
    45,    Transit and ground passenger transportation,24274,26487,26348,26050,26871,27447,28073,33374,37080,42409,44961,45094,44933,45138,49239,50998,55597,61828,65770,72296,77106,78428
    46,    Pipeline transportation,24251,24129,24135,23219,22702,22151,22365,23045,22829,24245,25742,31245,27305,31190,34988,36441,38768,41798,43686,44360,46580,52369
    47,    Other transportation and support activities,85242,95489,105470,117472,121225,124980,129719,141509,151734,166618,177803,177108,154405,164522,178095,186247,194418,208216,217822,222418,232307,251036
    48,    Warehousing and storage,26342,28633,31094,33819,36334,39693,45257,49688,53168,61495,69036,76898,78611,88469,97611,108889,112877,116224,120085,126544,132735,140263
