"Cite as: CAIT Climate Data Explorer. 2015. Washington, DC: World Resources Institute. Available online at:Êhttp://cait.wri.org.Ê Please Note: CAIT data are derived from several sources. Any use of the Land-Use Change and Forestry or Agriculture indicator should be cited as FAO 2014, FAOSTAT Emissions Database. Any use of CO2Êemissions from fuel combustion data should be cited as CO2ÊEmissions from Fuel Combustion, ©OECD/IEA, 2014.",,,,,,,,,,,,,,,,,,,,,
,,Total GHG,,Emissions by Gas excluding LUCF,,,,Emissions by Gas including LUCF,,,Emissions by Sector,,,,,,Emissions by Energy Sub-Sector,,,,
Country,Year,Total GHG Emissions Excluding Land-Use Change and Forestry (MtCO2e),Total GHG Emissions Including Land-Use Change and Forestry (MtCO?e?),Total CO2 (excluding Land-Use Change and Forestry) (MtCO2),Total CH4 (MtCO2e),Total N2O (MtCO2e),Total F-Gas (MtCO2e),Total CO2 (including Land-Use Change and Forestry) (MtCO2),Total CH4 (including Land-Use Change and Forestry) (MtCO2e),Total N2O (including Land-Use Change and Forestry) (MtCO2e),Energy (MtCO2e),Industrial Processes (MtCO2e),Agriculture (MtCO2e),Waste (MtCO2e),Land-Use Change and Forestry (MtCO2),Bunker Fuels (MtCO2),Electricity/Heat (MtCO2),Manufacturing/Construction (MtCO2),Transportation (MtCO2),Other Fuel Combustion (MtCO2e),Fugitive Emissions (MtCO2e)
Belarus,2012,103.3673,75.349,73.4612,16.7702,12.8713,0.2645,45.43036786,16.78120061,12.87287979,73.325,2.7219,20.5178,6.8027,-28.0183,0,33.19,18.57,11.57,8.3093,1.6856
Belgium,1990,,,111.4015,,,0.0373,,,,109.8798,7.646,,3.1507,,15.73,31.22,30.67,20,27.1626,0.8273
Belgium,1991,,,116.8897,,,0.1179,,,,115.2095,7.9938,,3.1043,,15.94,31.74,32.05,20.5,30.1464,0.773
Belgium,1992,,,116.2831,,,0.1984,,,,114.1091,8.6566,,3.0579,,15.87,30.75,30.17,21.89,30.5803,0.7188
Belgium,1993,,,113.5722,,,0.279,,,,111.5887,8.6453,,3.0115,,15.93,30.6,27.91,22.36,30.0542,0.6645
Belgium,1994,,,119.6816,,,0.3596,,,,117.2583,9.2642,,2.965,,15.34,32.81,31,22.74,30.0981,0.6103
Belgium,1995,,,119.3064,,,0.4401,,,,116.9379,9.3885,,2.9186,,14.92,32.69,29.35,22.6,31.7419,0.556
Belgium,1996,,,125.1768,,,0.5511,,,,122.9884,9.3086,,2.7712,,17.12,32.65,29.42,23.61,36.769,0.5393
Belgium,1997,,,122.4921,,,0.6621,,,,120.2288,9.5035,,2.6238,,19.84,31.19,30.99,23.68,33.8461,0.5226
Belgium,1998,,,124.4281,,,0.773,,,,122.6792,9.0792,,2.4764,,21.66,32.93,31.86,24.08,33.3032,0.5059
Belgium,1999,,,121.0174,,,0.884,,,,119.1296,9.3181,,2.329,,18.26,29.88,32.93,24.26,31.5703,0.4893
Belgium,2000,141.199,141.453,122.3914,9.2506,8.562,0.9949,122.645078,9.250852509,8.562130624,120.58,9.3518,9.0956,2.1816,0.254,21.39,30.76,35.56,24.31,29.4775,0.4726
Belgium,2001,141.8187,140.4148,123.4751,8.9879,8.2716,1.084,122.071232,8.987924066,8.271645145,121.6269,9.2213,8.9809,1.9996,-1.4038,19.94,28.64,36.75,25.09,30.6848,0.4621
Belgium,2002,134.8557,133.4477,116.0271,8.5426,9.1128,1.1731,114.619166,8.542595624,9.112799665,114.2138,8.9993,9.8151,1.8175,-1.408,25.39,28.82,30.72,25,29.2221,0.4517
Belgium,2003,141.5517,140.1396,123.4646,8.0787,8.7461,1.2622,122.052514,8.078727181,8.746114186,121.8507,8.6527,9.4229,1.6354,-1.4121,26.29,30.4,31.81,25.94,33.2595,0.4412
Belgium,2004,137.1556,135.7393,119.4552,7.7885,8.5605,1.3514,118.039002,7.788488738,8.560478707,117.7076,8.5992,9.3854,1.4534,-1.4162,28.66,29.32,29.83,26.52,31.6068,0.4308
Belgium,2005,134.2772,132.8568,117.0049,7.5726,8.2592,1.4405,115.584532,7.572580296,8.259233227,114.7945,8.9048,9.3066,1.2713,-1.4204,28.2,29.22,27.4,25.77,31.9842,0.4203
Belgium,2006,131.5053,130.8239,114.4417,7.4148,8.1572,1.4916,113.760256,7.414836158,8.157228235,112.0447,9.1143,9.1487,1.1975,-0.6814,29.89,28.93,28.37,25.22,29.0982,0.4266
Belgium,2007,127.5765,126.8933,110.7205,7.2143,8.099,1.5427,110.037298,7.214312021,8.099023242,107.7449,9.716,8.9918,1.1238,-0.6832,32.54,28.35,28.03,25.02,25.9121,0.4328
Belgium,2008,131.6435,130.9585,114.6334,7.11,8.3063,1.5938,113.948398,7.109977884,8.306298249,113.4352,7.9617,9.1966,1.05,-0.685,36.54,27.87,28.34,27.09,29.6961,0.439
Belgium,2009,122.254,121.5672,105.4563,7.0553,8.0975,1.6449,104.769466,7.055283747,8.097533256,102.7754,9.4573,9.035,0.9763,-0.6868,28.06,25.88,22.37,26.37,27.7101,0.4453
Belgium,2010,130.7314,130.0428,113.9655,6.9528,8.117,1.696,113.276924,6.95280961,8.117048263,111.7556,9.0294,9.0539,0.9025,-0.6886,28.85,29.4,25.12,26.36,30.4241,0.4515
Belgium,2011,131.6663,130.9855,114.7945,6.9165,8.1344,1.821,114.109412,6.919402243,8.135692475,112.615,9.1492,9.0091,0.903,-0.6808,25.95,26.07,33.45,26.3,26.3418,0.4532
Belgium,2012,125.8006,125.1085,108.8945,6.8363,8.1238,1.9459,108.2023931,6.836344876,8.123806688,106.7244,9.28,8.8927,0.9035,-0.6922,23.32,25.27,29.69,24.36,26.9495,0.455
Belize,1990,5.4566,10.5786,0.3114,5.0075,0.1377,0,5.35181,5.066910062,0.159862337,,0,0.2115,4.924,5.1219,,,,,,0
Belize,1991,5.6342,10.7506,0.3591,5.138,0.1369,0.0002,5.393952,5.197382666,0.159095775,,0.0002,0.2053,5.0597,5.1165,,,,,,0
Belize,1992,5.7881,10.9042,0.3554,5.2886,0.1437,0.0004,5.389938,5.347995271,0.165859214,,0.0004,0.2267,5.1954,5.1161,,,,,,0
Belize,1993,5.9283,11.0441,0.3774,5.4118,0.1385,0.0006,5.411572,5.471167875,0.160682652,,0.0006,0.2088,5.3311,5.1158,,,,,,0
Belize,1994,6.0601,11.1755,0.3737,5.5498,0.1358,0.0009,5.407558,5.609200479,0.15794609,,0.0009,0.2082,5.4668,5.1154,,,,,,0
Belize,1995,6.1712,11.2863,0.3774,5.6637,0.1291,0.0011,5.410862,5.723063083,0.151299528,,0.0011,0.1795,5.6025,5.1151,,,,,,0
Belize,1996,6.266,11.3869,0.3078,5.825,0.1302,0.003,5.345236,5.885934117,0.152731667,,0.003,0.1817,5.7616,5.1209,,,,,,0
Belize,1997,6.5166,11.589,0.3884,5.9896,0.1338,0.0048,5.405774,6.029695151,0.148713806,,0.0048,0.1896,5.9207,5.0724,,,,,,0
Belize,1998,6.6731,11.8414,0.3701,6.1549,0.1414,0.0067,5.408534,6.248276185,0.177865945,,0.0067,0.2022,6.0798,5.1684,,,,,,0
Belize,1999,7.0778,12.1896,0.6009,6.3205,0.1477,0.0086,5.634266,6.37780722,0.168868084,,0.0086,0.214,6.2389,5.1118,,,,,,0
Belize,2000,7.3214,12.4619,0.6888,6.4729,0.1491,0.0105,5.717072,6.553578254,0.180710223,,0.0105,0.2075,6.398,5.1405,,,,,,0
Belize,2001,7.521,12.5499,0.7108,6.6503,0.1458,0.014,5.715366,6.668261991,0.152241309,,0.014,0.2096,6.5698,5.0289,,,,,,0
Belize,2002,7.4158,12.4086,0.3664,6.8212,0.2106,0.0176,5.3558,6.823765729,0.211452396,,0.0176,0.2732,6.7415,4.9928,,,,,,0
Belize,2003,7.6797,12.9846,0.3847,6.9997,0.2742,0.0211,5.4838,7.149159466,0.330533482,,0.0211,0.3432,6.9132,5.3049,,,,,,0
Belize,2004,7.7364,12.7471,0.3957,7.1656,0.1505,0.0246,5.392462,7.176013203,0.154044569,,0.0246,0.2134,7.085,5.0107,,,,,,0
Belize,2005,7.9476,13.1743,0.414,7.3407,0.1647,0.0281,5.511582,7.436806941,0.197845655,,0.0281,0.2306,7.2567,5.2268,,,,,,0
Belize,2006,8.164,13.2142,0.4324,7.5429,0.1564,0.0324,5.458292,7.561804639,0.161686386,,0.0324,0.2302,7.4282,5.0502,,,,,,0.0225
Belize,2007,8.4085,13.6875,0.458,7.7488,0.1649,0.0367,5.55969,7.878582338,0.212607116,,0.0367,0.2504,7.5997,5.2791,,,,,,0.0449
Belize,2008,8.6011,13.7895,0.4507,7.9498,0.1596,0.041,5.531002,8.030200036,0.187397847,,0.041,0.2518,7.7711,5.1885,,,,,,0.0674
Belize,2009,8.8612,13.9085,0.469,8.1552,0.1918,0.0452,5.484502,8.178977734,0.199758578,,0.0452,0.295,7.9426,5.0473,,,,,,0.0898
Belize,2010,9.1196,14.1277,0.5533,8.3481,0.1687,0.0495,5.547684,8.358255433,0.172209308,,0.0495,0.2705,8.1141,5.0081,,,,,,0.1123
Belize,2011,9.3055,14.4993,0.5533,8.5169,0.1811,0.0542,5.559924,8.648658495,0.236465713,,0.0542,0.2833,8.2835,5.1938,,,,,,0.1111
Belize,2012,9.5973,14.5934,0.6752,8.6838,0.1793,0.059,5.66267,8.690191558,0.181592118,,,0.2799,8.453,4.9962,,,,,,0.1098
Benin,1990,5.0465,20.3686,0.4002,2.627,2.0193,0,15.251814,2.955106663,2.161727414,1.1871,0.1502,3.4752,0.2339,15.3222,0.05,0.03,0.03,0.16,0.8133,0.1538
Benin,1991,5.0373,20.285,0.3612,2.6373,2.0385,0.0003,15.138316,2.965424144,2.180965078,1.1253,0.1615,3.5072,0.2433,15.2477,0.05,0.03,0.02,0.13,0.799,0.1463
Benin,1992,5.1111,20.3586,0.3932,2.6549,2.0624,0.0006,15.17021,2.982981624,2.204852741,1.1236,0.1838,3.551,0.2527,15.2476,0.04,0.03,0.02,0.12,0.8148,0.1388
Benin,1993,5.1986,20.4461,0.4628,2.6522,2.0827,0.0009,15.239726,2.980349105,2.225150405,1.1118,0.2537,3.5711,0.262,15.2475,0.06,0.03,0.03,0.12,0.8005,0.1313
Benin,1994,5.3979,20.6453,0.4408,2.7725,2.1834,0.0012,15.217642,3.100616586,2.325848069,1.1001,0.232,3.7944,0.2714,15.2474,0.06,0.03,0.02,0.12,0.8062,0.1238
Benin,1995,5.271,20.5183,0.5095,2.6308,2.1292,0.0015,15.286176,2.958934067,2.271685732,1.0983,0.291,3.601,0.2807,15.2473,0.07,0.03,0.03,0.12,0.802,0.1164
Benin,1996,5.9383,21.2807,1.0795,2.7001,2.1557,0.0029,15.856156,3.094646101,2.327006504,1.7623,0.1825,3.734,0.2495,15.3424,0.07,0.03,0.15,0.49,0.9932,0.0991
Benin,1997,6.2578,21.5063,1.2489,2.7544,2.2502,0.0043,16.025448,3.083438136,2.393087276,2.0162,0.1033,3.92,0.2183,15.2485,0.05,0.05,0.18,0.67,1.0344,0.0818
Benin,1998,6.495,22.4496,1.2989,2.8488,2.3415,0.0058,16.075348,3.670370171,2.698158049,2.0601,0.1047,4.1431,0.1871,15.9547,0.09,0.05,0.14,0.74,1.0657,0.0645
Benin,1999,6.4578,22.2922,1.4289,2.731,2.2906,0.0072,16.205258,3.468842206,2.610968821,2.184,0.1061,4.0117,0.1559,15.8345,0.09,0.05,0.16,0.84,1.0869,0.0472
Benin,2000,6.9531,22.4027,1.5346,2.9578,2.4521,0.0086,16.310806,3.42734424,2.655989593,2.258,0.1332,4.4372,0.1247,15.4496,0.07,0.05,0.15,0.91,1.1181,0.0299
Benin,2001,7.0702,17.8349,1.8446,2.9031,2.3114,0.0111,12.374366,3.066935253,2.382485462,2.613,0.1357,4.1924,0.1291,10.7647,0.06,0.06,0.15,0.98,1.3983,0.0247
Benin,2002,8.1415,19.1445,2.1246,3.2421,2.7611,0.0137,12.654806,3.571796265,2.904191332,2.938,0.1382,4.9318,0.1335,11.003,0.06,0.07,0.15,1.16,1.5384,0.0195
Benin,2003,7.9525,18.849,2.3746,3.138,2.4237,0.0162,12.905246,3.393157278,2.534427202,3.233,0.1408,4.4409,0.1378,10.8966,0.11,0.06,0.14,1.35,1.6686,0.0144
Benin,2004,7.9771,18.8899,2.5346,3.1078,2.316,0.0187,13.065686,3.37394829,2.431543071,3.448,0.1433,4.2536,0.1422,10.9128,0.08,0.06,0.15,1.39,1.8388,0.0092
Benin,2005,9.2456,20.2308,2.7746,3.5701,2.8796,0.0212,13.306126,3.886429302,3.016948941,3.733,0.1458,5.2302,0.1466,10.9852,0.03,0.08,0.14,1.53,1.9789,0.004
Benin,2006,9.7729,20.707,3.9538,3.3099,2.4852,0.0241,14.491132,3.586519337,2.605269806,4.3067,0.7679,4.5469,0.1514,10.9341,0.07,0.11,0.13,1.94,2.1227,0.004
Benin,2007,10.5512,21.4101,4.5231,3.408,2.5932,0.0269,15.060774,3.631939371,2.690470672,4.8705,0.8,4.7245,0.1562,10.8589,0.08,0.15,0.13,2.41,2.1765,0.004
Benin,2008,10.4073,21.3152,4.5475,3.3491,2.481,0.0297,15.085456,3.607009405,2.592941537,4.9443,0.7772,4.5248,0.161,10.9079,0.13,0.16,0.12,2.42,2.2403,0.004
Benin,2009,10.8895,21.7049,4.8975,3.406,2.5535,0.0326,15.435786,3.59917944,2.637322403,5.3181,0.78,4.6256,0.1658,10.8153,0.27,0.09,0.15,2.78,2.294,0.004
Benin,2010,11.1252,21.9525,5.2108,3.3748,2.5041,0.0354,15.749476,3.576149474,2.591533268,5.6918,0.7462,4.5165,0.1707,10.8274,0.47,0.11,0.14,3.13,2.3078,0.004
Benin,2011,11.0944,21.931,5.0994,3.4418,2.5133,0.0399,15.638366,3.649279334,2.603360512,5.9083,0.4393,4.5709,0.1759,10.8366,0.49,0.11,0.15,3.29,2.3542,0.004
Benin,2012,11.0237,21.7551,4.95,3.4279,2.6013,0.0445,15.48932,3.561819194,2.659497756,6.1647,,4.6234,0.1811,10.7314,0.51,0.12,0.15,3.46,2.4306,0.004
Bhutan,1990,0.7295,-1.61,0.1282,0.4847,0.1165,0.0001,-2.23204,0.499198153,0.122755394,,0.0001,0.5538,0.0458,-2.3395,,,,,,0
Bhutan,1991,0.7775,-5.3527,0.1869,0.4754,0.1151,0.0001,-5.964036,0.489906031,0.121355834,,0.0587,0.5439,0.045,-6.1302,,,,,,0.0001
Bhutan,1992,0.7798,-5.3668,0.2198,0.4508,0.1091,0.0001,-5.94755,0.465253909,0.115366274,,0.0588,0.514,0.0443,-6.1466,,,,,,0.0001
Bhutan,1993,0.7492,-5.4139,0.1869,0.4513,0.1109,0.0001,-5.997006,0.465721787,0.117226713,,0.0551,0.5171,0.0436,-6.1631,,,,,,0.0002
Bhutan,1994,0.7804,-5.3992,0.2125,0.4556,0.1121,0.0002,-5.987848,0.470119665,0.118377153,,0.0588,0.5234,0.0429,-6.1796,,,,,,0.0002
Bhutan,1995,0.8652,-5.3309,0.2492,0.4938,0.1221,0.0002,-5.967698,0.508237543,0.128387593,,0.0698,0.5723,0.0422,-6.1961,,,,,,0.0003
Bhutan,1996,0.9039,-5.3141,0.3004,0.4828,0.1204,0.0002,-5.932882,0.493506035,0.125088074,,0.0808,0.5577,0.0427,-6.2179,,,,,,0.0003
Bhutan,1997,0.9986,-5.2361,0.392,0.485,0.1213,0.0002,-5.857772,0.495514526,0.125888556,,0.0809,0.559,0.0433,-6.2347,,,,,,0.0003
Bhutan,1998,0.9949,-5.2423,0.3847,0.4886,0.1213,0.0003,-5.88159,0.508843017,0.130149037,,0.0736,0.5607,0.0439,-6.2372,,,,,,0.0002
Bhutan,1999,1.0221,-5.2106,0.3884,0.5092,0.1242,0.0003,-5.894406,0.544101509,0.139349519,,0.0736,0.5824,0.0445,-6.2328,,,,,,0.0002
Bhutan,2000,0.9873,-5.2921,0.3994,0.475,0.1125,0.0004,-5.899904,0.4889,0.11854,,0.0736,0.5347,0.0451,-6.2794,,,,,,0.0002
Bhutan,2001,0.9483,-7.0361,0.3884,0.4511,0.1081,0.0007,-7.608636,0.459914918,0.111930168,,0.0814,0.5053,0.0458,-7.9843,,,,,,0.0002
Bhutan,2002,0.9643,-7.0556,0.4177,0.4363,0.1092,0.0011,-7.607184,0.439789835,0.110690336,,0.0817,0.4906,0.0466,-8.0199,,,,,,0.0003
Bhutan,2003,0.9399,-7.1129,0.3774,0.4483,0.1127,0.0015,-7.675348,0.448254753,0.112690505,,0.0821,0.5051,0.0473,-8.0527,,,,,,0.0003
Bhutan,2004,0.8766,-7.1997,0.3078,0.451,0.1159,0.0019,-7.772824,0.454009671,0.117160673,,0.0862,0.51,0.048,-8.0763,,,,,,0.0003
Bhutan,2005,1.0191,-7.0865,0.3957,0.4968,0.1243,0.0023,-7.712738,0.498754588,0.125190841,,0.0866,0.5632,0.0487,-8.1056,,,,,,0.0004
Bhutan,2006,0.997,-7.7215,0.392,0.4835,0.1191,0.0024,-8.328432,0.484867441,0.119656839,,0.0903,0.5437,0.0494,-8.7186,,,,,,0.0004
Bhutan,2007,1.0144,-7.6549,0.392,0.4962,0.1236,0.0025,-8.360242,0.554120294,0.148762837,,0.0904,0.5599,0.0501,-8.6693,,,,,,0.0004
Bhutan,2008,0.9902,-7.7896,0.4177,0.4529,0.1169,0.0026,-8.366404,0.455923147,0.118238835,,0.0905,0.5089,0.0508,-8.7798,,,,,,0.0004
Bhutan,2009,0.97,-7.8409,0.3884,0.4614,0.1175,0.0027,-8.427516,0.464866,0.119024834,,0.0906,0.5169,0.0514,-8.8109,,,,,,0.0004
Bhutan,2010,1.064,-7.7457,0.4873,0.4612,0.1128,0.0028,-8.360398,0.487678853,0.124260832,,0.1017,0.5109,0.0521,-8.8097,,,,,,0.0004
Bhutan,2011,1.1352,-7.7312,0.5606,0.4572,0.1145,0.003,-8.318928,0.466363017,0.118423885,,0.1019,0.5077,0.0527,-8.8664,,,,,,0.0004
Bhutan,2012,0.8907,-7.9676,0.3208,0.4524,0.1144,0.0031,-8.59056,0.48935718,0.130406938,,,0.5018,0.0533,-8.8584,,,,,,0.0005
Bolivia,1990,21.71,105.618,5.6254,10.9474,5.1333,0.0039,83.011084,15.49522475,7.107850176,6.5298,0.2823,14.7183,0.1796,83.908,0,1.54,0.78,2.2,1.0628,0.947
Bolivia,1991,22.2652,106.169,5.6637,11.3298,5.2677,0.004,83.045134,15.87756679,7.242272298,6.7273,0.3008,14.9678,0.2793,83.9038,0,1.47,0.73,2.32,1.0921,1.1152
Bolivia,1992,23.9787,107.8792,6.7757,11.8108,5.3881,0.0041,84.153798,16.35859883,7.362684419,8.0031,0.3045,15.302,0.379,83.9005,0,1.68,0.74,2.29,1.1415,2.1516
Bolivia,1993,25.4954,109.3926,7.7023,12.2631,5.5257,0.0042,85.077206,16.81095087,7.50022654,9.0716,0.3303,15.6247,0.4788,83.8972,0,1.59,0.73,2.65,1.0908,3.0108
Bolivia,1994,27.3825,111.2765,8.9153,12.7653,5.6976,0.0043,86.286866,17.3131129,7.672178662,10.3871,0.3854,16.0316,0.5785,83.8939,0,1.83,0.81,2.75,1.1401,3.857
Bolivia,1995,27.3425,111.2332,8.2342,13.2569,5.8471,0.0044,85.602454,17.80468494,7.821600783,9.8111,0.4478,16.4054,0.6782,83.8907,0,2.17,0.89,3.06,1.1994,2.4917
Bolivia,1996,27.1265,110.4134,7.8075,13.3791,5.9344,0.0055,85.172528,17.50821891,7.72719197,9.159,0.4708,16.7052,0.7914,83.2869,0,1.78,0.7,3.17,1.2291,2.2799
Bolivia,1997,27.6161,111.2871,7.8888,13.5694,6.1513,0.0066,85.250544,17.96859287,8.061343157,8.9756,0.5232,17.2027,0.9046,83.6709,0,1.78,0.77,2.99,1.3387,2.0968
Bolivia,1998,28.7929,112.4119,8.3947,13.8816,6.5089,0.0077,85.753226,18.24677683,8.404174343,9.2121,0.5903,17.9627,1.0178,83.6189,0,2.02,0.85,3.09,1.3384,1.9137
Bolivia,1999,29.0012,117.3154,7.8014,14.3247,6.8663,0.0088,85.156562,21.9660608,10.18399553,8.4106,0.606,18.8535,1.131,88.3143,0,1.61,0.87,3.1,1.318,1.5126
Bolivia,2000,29.1861,109.1993,8.1374,14.4797,6.5591,0.0099,85.489294,16.33533476,7.364826717,8.6154,0.5448,18.7916,1.2442,80.0133,0.14,1.9,0.91,2.91,1.7477,1.1477
Bolivia,2001,28.018,105.4048,7.658,14.1898,6.1569,0.0132,84.653026,14.46303555,6.275535124,8.4299,0.5042,17.7412,1.3427,77.3869,0.12,1.68,0.87,2.84,1.793,1.2469
Bolivia,2002,30.0513,109.2256,8.2662,15.122,6.6465,0.0166,85.263718,16.63977635,7.305533531,9.2969,0.5185,18.8046,1.4412,79.1743,0.12,1.96,0.94,2.89,1.8884,1.6186
Bolivia,2003,31.7396,111.022,9.0912,15.7849,6.8436,0.0199,86.09119,17.37636714,7.534561938,10.3058,0.5878,19.3063,1.5397,79.2824,0.13,2.28,0.97,3.08,2.0037,1.9721
Bolivia,2004,34.3953,127.5632,9.6846,16.973,7.7145,0.0232,86.687096,28.24456793,12.60828034,11.0894,0.6608,21.0069,1.6382,93.1679,0.13,2.33,1.04,3.36,2.379,1.9804
Bolivia,2005,36.0761,121.7675,10.4934,17.6249,7.9312,0.0266,87.498384,23.68167872,10.56088875,12.0775,0.7447,21.5173,1.7367,85.6914,0.15,2.85,1.08,3.51,2.3944,2.2431
Bolivia,2006,36.7829,128.0342,11.346,17.6944,7.7138,0.0287,98.605788,20.47752737,8.922121346,12.9081,0.8421,21.2625,1.7702,91.2513,0.15,2.95,1.19,3.9,2.6434,2.2247
Bolivia,2007,38.2497,132.7968,12.3127,18.0436,7.8624,0.0309,99.575998,23.12244602,10.06751394,13.8932,0.8993,21.6536,1.8036,94.5472,0.13,3.25,1.29,4.38,2.7123,2.2609
Bolivia,2008,39.3711,129.8229,13.4146,18.1758,7.7477,0.033,100.68122,20.39667467,8.711976534,14.9474,1.0223,21.5643,1.8371,90.4518,0.13,3.46,1.32,4.89,2.9313,2.3461
Bolivia,2009,40.7004,128.775,14.1403,18.7344,7.7905,0.0352,101.410368,19.29537331,8.034079128,15.5825,1.1784,22.059,1.8706,88.0746,0.13,3.69,1.54,5.11,2.8803,2.3622
Bolivia,2010,45.1142,154.8518,15.5162,20.024,9.5367,0.0373,102.789682,35.68746196,16.33733172,16.9831,1.2391,24.988,1.9041,109.7376,0.14,4.14,1.55,5.36,3.5092,2.4238
Bolivia,2011,44.8312,140.2845,16.9543,19.5291,8.308,0.0399,104.231204,25.23017232,10.7832414,18.3268,1.3626,23.2052,1.9367,95.4532,0.15,4.41,1.73,5.89,3.7284,2.5684
Bolivia,2012,46.0336,136.4737,16.7379,20.2981,8.9552,0.0424,104.01826,22.50134267,9.911761079,19.4596,,24.5621,1.9694,90.4402,0.13,4.66,1.84,6.27,4.0676,2.6221
Bosnia & Herzegovina,1990,,,23.7914,,,0.0128,,,,23.9862,0.3689,,1.3533,,0.08,10.54,5.89,2.17,5.1016,0.2846
Bosnia & Herzegovina,1991,,,21.2934,,,0.0178,,,,21.5212,0.3659,,1.3096,,0.06,8.55,5.75,1.84,5.071,0.3102
Bosnia & Herzegovina,1992,19.5517,19.7518,15.7133,2.9755,0.8402,0.0227,15.87674,2.999448748,0.852897064,16.0263,0.3108,1.9487,1.2659,0.2001,0.05,6.76,3.6,1.05,4.2805,0.3358
Bosnia & Herzegovina,1993,16.9377,6.084,13.1933,2.9075,0.8092,0.0277,2.30297,2.931491982,0.821880022,13.5314,0.3157,1.8684,1.2221,-10.8537,0.09,5.87,2.68,0.84,3.78,0.3614
Bosnia & Herzegovina,1994,6.718,-4.1092,3.1509,2.7739,0.7606,0.0326,-7.713028,2.797845216,0.773302979,3.4665,0.3683,1.7048,1.1784,-10.8273,0.11,0.67,0.65,0.96,0.7995,0.387
Bosnia & Herzegovina,1995,6.6646,-4.1363,3.3536,2.55,0.7235,0.0376,-7.483986,2.573928449,0.736155937,3.7016,0.3659,1.4624,1.1347,-10.8009,0.11,0.78,0.66,0.98,0.869,0.4126
Bosnia & Herzegovina,1996,7.6657,-3.1111,4.1433,2.5824,0.8679,0.0721,-6.655,2.598567649,0.873165465,4.6896,0.5552,1.2569,1.154,-10.7769,0.12,2.06,0.34,1.01,0.7005,0.5791
Bosnia & Herzegovina,1997,12.5808,1.797,8.3689,2.9607,1.1446,0.1067,-2.428132,2.969926848,1.148544993,9.0776,0.8103,1.5295,1.1734,-10.7838,0.12,5.72,0.55,1.05,1.0121,0.7456
Bosnia & Herzegovina,1998,15.4592,4.7672,10.6102,3.2088,1.499,0.1412,-0.149796,3.249086047,1.526674522,11.4157,1.0912,1.7496,1.1928,-10.692,0.12,7.78,0.45,1.38,0.8936,0.912
Bosnia & Herzegovina,1999,15.735,5.1035,10.3702,3.441,1.748,0.1757,-0.308896,3.475435246,1.76116405,11.3637,1.3207,1.8485,1.2121,-10.6316,0.12,7.66,0.43,1.33,0.8652,1.0785
Bosnia & Herzegovina,2000,19.6451,9.1189,13.8214,3.6717,1.9417,0.2103,3.14463,3.763014445,2.000983579,14.8117,1.7115,1.8905,1.2315,-10.5262,0.03,8.76,1.5,2.07,1.2367,1.245
Bosnia & Herzegovina,2001,19.3869,19.5499,13.6417,3.6872,1.8525,0.2054,13.787914,3.698431896,1.858113681,14.642,1.7184,1.7799,1.2566,0.163,0.02,8.61,1.33,2.11,1.307,1.285
Bosnia & Herzegovina,2002,20.1635,20.3067,14.4443,3.6963,1.8222,0.2005,14.579436,3.700839346,1.825893783,15.3723,1.7877,1.7217,1.2818,0.1433,0.02,9.38,1.49,2.02,1.1572,1.325
Bosnia & Herzegovina,2003,20.5628,20.9446,14.7633,3.8476,1.7562,0.1957,15.042804,3.918256797,1.787883885,15.7426,1.7434,1.7699,1.307,0.3818,0.02,10.17,0.41,2.03,1.7675,1.3651
Bosnia & Herzegovina,2004,21.5473,21.687,15.4803,3.9524,1.9238,0.1908,15.615388,3.954934247,1.925893987,16.4329,1.787,2.0053,1.3321,0.1397,0.02,10.1,0.83,2.37,1.7278,1.4051
Bosnia & Herzegovina,2005,22.2197,22.3556,16.143,4.0449,1.846,0.1859,16.27869,4.045031697,1.845974089,17.1332,1.7463,1.9829,1.3573,0.1359,0.02,10.39,1.08,2.28,1.9381,1.4452
Bosnia & Herzegovina,2006,23.9944,24.1327,17.8419,4.1799,1.7984,0.1741,17.978498,4.181054924,1.799006553,18.7472,1.7913,2.0868,1.369,0.1383,0.02,11.7,1.17,2.86,1.5582,1.459
Bosnia & Herzegovina,2007,24.8544,25.1158,18.7975,4.1361,1.7583,0.1623,19.003166,4.17789815,1.772389017,19.6812,1.7631,2.0193,1.3807,0.2614,0.02,12.24,1.24,3.02,1.7084,1.4728
Bosnia & Herzegovina,2008,26.5658,26.7093,20.6198,4.132,1.6634,0.1505,20.755554,4.136611376,1.666631481,21.4852,1.7715,1.9366,1.3924,0.1436,0.02,13.29,1.31,3.35,2.0486,1.4866
Bosnia & Herzegovina,2009,26.5442,26.6793,20.2749,4.1637,1.9667,0.1388,20.410044,4.163744603,1.966743945,21.2992,1.5528,2.2881,1.4041,0.1351,0.02,13.68,1.35,3.45,1.3188,1.5004
Bosnia & Herzegovina,2010,26.6375,26.7738,20.5227,4.1798,1.8081,0.127,20.657756,4.180517829,1.808576408,21.6332,1.4366,2.1618,1.4159,0.1364,0.02,13.55,1.57,3.37,1.629,1.5142
Bosnia & Herzegovina,2011,29.6697,29.8543,23.2533,4.1612,2.1235,0.1316,23.412434,4.178987549,2.131280775,24.3975,1.4145,2.442,1.4157,0.1847,0.02,16.09,1.75,3.37,1.6593,1.5282
