"Cite as: CAIT Climate Data Explorer. 2015. Washington, DC: World Resources Institute. Available online at:Êhttp://cait.wri.org.Ê Please Note: CAIT data are derived from several sources. Any use of the Land-Use Change and Forestry or Agriculture indicator should be cited as FAO 2014, FAOSTAT Emissions Database. Any use of CO2Êemissions from fuel combustion data should be cited as CO2ÊEmissions from Fuel Combustion, ©OECD/IEA, 2014.",,,,,,,,,,,,,,,,,,,,,
,,Total GHG,,Emissions by Gas excluding LUCF,,,,Emissions by Gas including LUCF,,,Emissions by Sector,,,,,,Emissions by Energy Sub-Sector,,,,
Country,Year,Total GHG Emissions Excluding Land-Use Change and Forestry (MtCO2e),Total GHG Emissions Including Land-Use Change and Forestry (MtCO?e?),Total CO2 (excluding Land-Use Change and Forestry) (MtCO2),Total CH4 (MtCO2e),Total N2O (MtCO2e),Total F-Gas (MtCO2e),Total CO2 (including Land-Use Change and Forestry) (MtCO2),Total CH4 (including Land-Use Change and Forestry) (MtCO2e),Total N2O (including Land-Use Change and Forestry) (MtCO2e),Energy (MtCO2e),Industrial Processes (MtCO2e),Agriculture (MtCO2e),Waste (MtCO2e),Land-Use Change and Forestry (MtCO2),Bunker Fuels (MtCO2),Electricity/Heat (MtCO2),Manufacturing/Construction (MtCO2),Transportation (MtCO2),Other Fuel Combustion (MtCO2e),Fugitive Emissions (MtCO2e)
Albania,1995,6.2833,6.4395,1.9589,3.0805,1.2407,0.0032,2.087528,3.097592046,1.251207397,2.1113,0.1133,3.4796,0.5791,0.1562,0,0.33,0.59,0.62,0.5097,0.0617
Albania,1996,5.9776,6.1214,1.9726,2.9138,1.0874,0.0038,2.103282,2.921856487,1.092455836,2.1041,0.1175,3.1644,0.5816,0.1438,0,0.27,0.53,0.61,0.6425,0.0516
Albania,1997,5.2956,5.462,1.4813,2.7648,1.0451,0.0044,1.614506,2.785740928,1.057364275,1.6668,0.0668,2.9779,0.5841,0.1664,0,0.24,0.33,0.49,0.5653,0.0415
Albania,1998,5.4628,5.6146,1.7103,2.6468,1.1007,0.005,1.846184,2.656545369,1.106892715,1.8996,0.0564,2.9202,0.5866,0.1518,0,0.22,0.43,0.73,0.4881,0.0315
Albania,1999,6.7252,6.8764,2.9813,2.6871,1.0513,0.0055,3.119556,2.69508981,1.056261154,3.1623,0.068,2.9158,0.5891,0.1513,0.11,0.26,0.54,1.39,0.9509,0.0214
Albania,2000,6.9589,7.1764,3.1379,2.7017,1.1131,0.0061,3.279066,2.749174251,1.142029593,3.2651,0.1052,2.9971,0.5916,0.2175,0.12,0.32,0.52,1.45,0.9637,0.0114
Albania,2001,6.9592,7.8356,3.2,2.6726,1.0785,0.008,4.07559,2.673223578,1.078778905,3.4272,0.0192,2.9182,0.5946,0.8764,0.13,0.29,0.59,1.53,1.0012,0.0161
Albania,2002,7.5414,8.4256,3.67,2.6289,1.2326,0.0099,4.55418,2.628912905,1.232628217,3.9094,0.021,3.0133,0.5976,0.8842,0.13,0.3,0.46,1.75,1.3787,0.0207
Albania,2003,8.0552,8.9524,4.1295,2.6665,1.2475,0.0118,5.024066,2.668262231,1.248327529,4.0816,0.3124,3.0505,0.6007,0.8972,0.14,0.36,0.54,1.9,1.2561,0.0254
Albania,2004,8.2436,9.1458,4.4158,2.6062,1.208,0.0136,5.317962,2.606161558,1.208016841,4.3837,0.3106,2.9356,0.6037,0.9022,0.15,0.29,0.62,2.27,1.1736,0.0301
